nom_complet,genre,pays,age,revenu_annuel,type_abonnement,duree_abonnement_mois,nb_connexions_mensuelles,dernier_dispositif,derniere_connexion,churn,jour_semaine,mois
Valerie Mccormick,Homme,Canada,45.0,49707.43,Standard,8.1,25,SmartTV,2025-03-23 02:35:28,0,6,3
Jennifer Murray MD,Femme,Belgique,25.0,59729.16,Premium,10.3,23,Mobile,2025-03-30 13:39:04,0,6,3
Adam Garcia,Homme,Belgique,33.0,23826.56,Familial,25.1,27,Tablette,2025-04-15 08:22:29,0,1,4
Kevin Bennett,Femme,Canada,19.0,55069.19,Premium,3.9,24,SmartTV,2025-01-03 11:01:51,0,4,1
Jimmy Tapia,Femme,Algérie,52.0,6200.67,Standard,2.1,22,Mobile,2025-01-11 07:20:29,1,5,1
Sarah Peck,Homme,Belgique,44.0,41517.71,Standard,5.4,20,Mobile,2025-06-09 03:05:03,0,0,6
Natalie Noble,Non précisé,France,47.0,21031.6,Premium,5.3,17,Tablette,2025-03-21 01:11:57,0,4,3
Donald Thomas,Femme,Belgique,19.0,32830.74,Premium,5.6,25,PC,2025-05-17 11:14:34,0,5,5
Elizabeth Robinson,Homme,Maroc,24.0,46798.14,Premium,5.4,39,Inconnu,2025-06-22 20:26:18,0,6,6
Mary Harrell,Homme,Canada,41.0,47925.05,Premium,9.7,17,SmartTV,2025-03-10 10:22:25,1,0,3
James Ellis,Homme,Maroc,61.0,38231.68,Standard,8.4,25,Mobile,2025-03-07 22:37:34,0,4,3
Meghan Williams,Femme,Canada,43.0,29333.68,Standard,10.3,22,Tablette,2025-01-10 23:53:14,1,4,1
Courtney Ibarra,Femme,Maroc,41.0,38083.02,Standard,17.5,13,SmartTV,2025-06-26 23:33:11,0,3,6
John Reynolds,Homme,Canada,57.0,21636.65,Standard,11.3,37,Mobile,2025-05-15 01:38:29,0,3,5
Michael Sims,Femme,Algérie,38.0,38530.77,Standard,5.7,22,Tablette,2025-05-18 22:55:46,0,6,5
James Lynch,Homme,Canada,51.0,78505.22,Standard,20.3,22,PC,2025-02-20 05:28:22,0,3,2
Robert Stewart,Homme,Maroc,56.0,30277.82,Standard,8.3,22,Tablette,2025-06-20 17:56:46,0,4,6
Ricardo Edwards,Femme,Algérie,20.0,33927.45,Premium,0.7,27,Mobile,2025-05-19 06:12:08,1,0,5
Brian Smith,Femme,Belgique,61.0,41806.92,Premium,14.6,25,SmartTV,2025-06-28 16:43:15,0,5,6
Laura Sellers,Femme,Maroc,43.761429322122964,34322.54,Premium,2.3,30,Tablette,2025-04-13 18:16:26,1,6,4
Joseph Morales,Homme,France,40.0,31464.32,Standard,8.3,22,Mobile,2025-05-22 06:11:58,1,3,5
Vernon Griffin,Femme,Belgique,21.0,42749.14,Familial,6.3,25,SmartTV,2025-01-11 11:42:59,1,5,1
Jeffrey Glover,Homme,France,25.0,31912.63,Premium,40.6,22,Mobile,2025-06-09 22:40:26,0,0,6
William Chung,Femme,Canada,62.0,40728.87,Familial,2.5,24,SmartTV,2025-03-29 12:26:05,0,5,3
Mikayla Lynch,Homme,Canada,36.0,48118.09,Familial,5.5,37,Mobile,2025-01-10 23:11:36,0,4,1
Evan Williams,Femme,Canada,60.0,44724.91,Standard,0.4,26,SmartTV,2025-05-16 22:39:23,0,4,5
Yesenia Hale,Femme,Maroc,66.0,45045.7,Premium,0.9,27,PC,2025-05-17 12:00:26,0,5,5
Matthew Stewart,Homme,Canada,18.0,53243.68,Familial,14.36419689119171,17,PC,2025-06-25 11:46:05,0,2,6
Marissa Berry,Homme,Belgique,55.0,42118.87,Standard,0.8,24,SmartTV,2025-02-26 08:09:43,0,2,2
Lindsay Cox,Femme,Maroc,65.0,43430.46,Standard,28.1,19,SmartTV,2025-04-11 02:03:08,0,4,4
Dale Rhodes,Homme,Algérie,44.0,42261.84,Premium,5.7,25,Mobile,2025-05-22 03:24:37,0,3,5
John Rhodes,Femme,Maroc,55.0,31123.75,Premium,27.1,20,Mobile,2025-06-11 12:46:40,0,2,6
Diane Lynch,Femme,Algérie,34.0,29310.48,Familial,9.2,26,Mobile,2025-03-29 19:24:45,0,5,3
Miss Patricia Flynn DDS,Femme,Algérie,19.0,40728.87,Standard,5.5,24,Mobile,2025-02-20 08:16:08,0,3,2
John Cherry,Homme,Maroc,44.0,43737.82,Familial,7.1,25,SmartTV,2025-01-23 00:36:24,0,3,1
Carolyn Tucker,Femme,Canada,39.0,41481.15,Premium,3.5,23,PC,2025-03-21 11:54:00,1,4,3
John Villanueva,Homme,Canada,24.0,25479.01,Standard,18.4,28,PC,2025-06-11 04:20:19,0,2,6
Stephanie Ruiz,Homme,France,26.0,44550.1,Standard,18.2,20,PC,2025-03-08 12:57:28,0,5,3
Diana Potter,Homme,Canada,43.761429322122964,49965.98,Standard,8.5,30,Mobile,2025-05-13 08:05:52,1,1,5
Roger Benitez,Femme,Belgique,29.0,29130.43,Standard,2.0,14,Mobile,2025-06-14 18:44:18,1,5,6
Brittany Gonzalez,Femme,Maroc,66.0,24611.2,Standard,31.9,23,Mobile,2025-01-31 06:51:46,1,4,1
John Valdez,Femme,France,37.0,53383.66,Standard,6.5,20,PC,2025-04-14 12:49:21,1,0,4
Shelley Rangel,Homme,Canada,68.0,34175.69,Standard,13.2,29,Mobile,2025-05-20 03:01:51,1,1,5
Zachary Hutchinson,Femme,Belgique,39.0,44648.13,Premium,4.7,25,Tablette,2025-03-20 13:36:38,1,3,3
Patrick Hart,Homme,Canada,36.0,40728.87,Standard,110.8,29,Mobile,2025-02-12 08:29:12,0,2,2
Fred Rogers,Homme,Algérie,30.0,43826.27,Standard,9.2,23,Mobile,2025-01-26 16:58:03,1,6,1
Carlos Smith,Homme,Belgique,26.0,37196.72,Standard,7.4,29,PC,2025-03-25 18:00:26,0,1,3
Christine Morales,Homme,France,48.0,42423.99,Premium,12.7,29,PC,2025-05-12 08:43:55,0,0,5
Luis Peterson,Homme,Belgique,25.0,29766.17,Standard,23.7,25,Mobile,2025-03-15 04:17:09,1,5,3
Tammy Nelson,Femme,Maroc,54.0,44663.9,Standard,12.0,27,SmartTV,2025-05-28 03:08:21,1,2,5
Sharon Rhodes,Femme,Algérie,33.0,40017.55,Premium,22.1,26,PC,2025-06-04 09:31:24,0,2,6
Rose Copeland,Homme,Canada,29.0,31916.12,Standard,48.9,29,Mobile,2025-01-20 06:59:35,0,0,1
Charles Davis,Homme,Algérie,51.0,34323.79,Standard,37.7,16,SmartTV,2025-01-20 21:23:41,0,0,1
Linda Robinson,Femme,Algérie,50.0,17883.2,Familial,1.3,23,Mobile,2025-02-19 14:38:33,0,2,2
Katherine Larsen,Femme,Canada,36.0,56232.88,Premium,7.4,24,Mobile,2025-06-18 19:25:09,0,2,6
Anthony Vasquez,Femme,France,68.0,44970.61,Premium,13.2,28,Mobile,2025-06-11 15:53:49,1,2,6
Patrick Palmer,Femme,Maroc,40.0,52263.55,Standard,3.3,24,Mobile,2025-02-11 02:14:22,0,1,2
Erica Miller,Homme,Algérie,45.0,36214.85,Premium,7.0,23,Mobile,2025-03-04 08:39:29,0,1,3
James Harris,Femme,Canada,39.0,26159.68,Familial,0.0,32,Mobile,2025-01-13 01:46:41,1,0,1
Susan Miller,Homme,Algérie,47.0,21161.55,Standard,16.3,26,PC,2025-03-26 18:00:41,0,2,3
Sarah Mckinney,Homme,Maroc,36.0,45458.98,Premium,3.5,19,Inconnu,2025-03-30 06:59:38,0,6,3
Chad Campbell,Femme,France,32.0,40826.23,Familial,0.4,16,PC,2025-04-19 01:36:49,0,5,4
Laura Shelton,Femme,Maroc,61.0,53654.34,Standard,18.2,35,Tablette,2025-07-06 04:27:32,1,6,7
Ruth Faulkner,Homme,Algérie,58.0,23115.42,Standard,2.0,23,Mobile,2025-06-28 19:52:01,0,5,6
Andrew Mack,Homme,Canada,45.0,19527.24,Standard,1.3,22,Mobile,2025-01-09 16:36:50,1,3,1
Julie James,Femme,France,51.0,10884.19,Standard,14.36419689119171,22,PC,2025-05-13 13:12:34,0,1,5
Kelsey Salinas,Homme,France,36.0,49869.19,Standard,22.2,22,PC,2025-07-08 09:47:50,1,1,7
Jane Andrews,Homme,Algérie,31.0,40728.87,Standard,7.4,25,Tablette,2025-04-28 02:37:34,0,0,4
Andrew Little,Femme,Algérie,49.0,40728.87,Standard,43.9,27,SmartTV,2025-06-28 07:18:52,0,5,6
Darrell Chaney,Homme,Canada,39.0,38109.2,Standard,15.1,30,Mobile,2025-05-24 13:17:35,0,5,5
William Hernandez,Homme,Canada,51.0,47071.94,Premium,23.4,29,SmartTV,2025-04-21 08:32:27,0,0,4
Courtney Kim,Homme,France,43.761429322122964,41628.28,Standard,9.7,26,SmartTV,2025-03-25 06:58:53,0,1,3
Karen Nunez,Homme,Algérie,27.0,31225.65,Standard,4.6,19,SmartTV,2025-02-08 11:33:04,0,5,2
Sara Bentley,Femme,Maroc,64.0,42873.18,Familial,6.1,27,PC,2025-02-18 20:01:16,1,1,2
Ashley Murray,Femme,France,37.0,46481.23,Premium,61.9,24,Tablette,2025-02-15 12:37:10,1,5,2
Samantha Baldwin,Femme,France,51.0,33833.6,Standard,7.8,22,SmartTV,2025-03-25 09:21:20,0,1,3
Sarah Brown,Femme,France,62.0,50018.4,Premium,7.0,27,Mobile,2025-07-05 10:11:29,0,5,7
Ernest Mason,Femme,France,52.0,71590.97,Premium,3.6,38,SmartTV,2025-06-08 05:31:20,1,6,6
Breanna Woods,Non précisé,Canada,56.0,40728.87,Standard,6.6,21,SmartTV,2025-06-18 06:13:29,0,2,6
Amanda Collins,Homme,Algérie,44.0,50358.55,Premium,20.2,21,Mobile,2025-06-21 08:14:28,0,5,6
Alexander Kelly,Homme,France,63.0,43706.66,Familial,14.1,21,Mobile,2025-06-27 16:04:14,1,4,6
Matthew Dominguez,Femme,Canada,26.0,26577.72,Standard,11.1,37,Mobile,2025-04-11 20:23:56,0,4,4
Stacey Montes,Homme,France,44.0,47714.27,Premium,8.5,36,Mobile,2025-01-17 23:26:17,0,4,1
Andrea Owens,Homme,France,68.0,30991.83,Standard,2.7,23,Mobile,2025-06-24 23:14:00,1,1,6
Kathleen Dean,Femme,Canada,44.0,46172.53,Standard,27.8,26,Mobile,2025-01-24 15:55:48,1,4,1
Ethan Cook,Homme,France,59.0,32091.71,Premium,14.36419689119171,23,Mobile,2025-04-16 06:47:39,1,2,4
Charles Brown,Femme,Algérie,37.0,55943.76,Premium,3.6,24,SmartTV,2025-03-23 06:59:50,0,6,3
Stephen Barr,Homme,Algérie,42.0,39768.18,Standard,14.8,30,SmartTV,2025-04-10 00:59:03,0,3,4
Steve Burton Jr.,Homme,Canada,56.0,41219.56,Standard,25.6,20,Mobile,2025-02-21 14:51:17,0,4,2
Amy Eaton,Femme,Canada,18.0,45618.85,Premium,10.6,25,Mobile,2025-02-16 14:09:48,0,6,2
Zachary Miller,Femme,Belgique,37.0,37430.27,Standard,14.1,24,Mobile,2025-05-24 01:57:48,0,5,5
Bradley West,Femme,Maroc,34.0,36606.28,Standard,13.6,17,Tablette,2025-03-16 08:53:32,1,6,3
Angela Berry,Femme,Algérie,42.0,39399.22,Familial,16.1,27,PC,2025-06-21 17:53:38,0,5,6
Kristen Houston,Homme,Algérie,30.0,41904.13,Premium,1.7,21,PC,2025-01-31 10:39:24,0,4,1
Christine White,Femme,Belgique,37.0,40728.87,Standard,7.5,26,Mobile,2025-06-18 07:24:43,0,2,6
Christopher Johnson,Non précisé,Canada,66.0,26121.34,Familial,30.1,22,SmartTV,2025-02-18 21:44:24,1,1,2
Danielle Edwards,Femme,Algérie,63.0,55374.86,Standard,17.3,28,Mobile,2025-01-12 17:00:27,0,6,1
Tammy Henderson,Homme,Maroc,43.761429322122964,43287.57,Standard,6.1,26,SmartTV,2025-04-03 17:20:24,0,3,4
Julia Williams,Femme,Algérie,18.0,35580.18,Standard,1.8,26,SmartTV,2025-04-10 20:48:50,1,3,4
Robert Wong,Homme,Belgique,67.0,15996.01,Standard,1.8,13,SmartTV,2025-03-21 23:12:48,0,4,3
Kimberly Brown,Homme,France,48.0,38735.06,Standard,21.3,28,Mobile,2025-04-27 02:50:07,1,6,4
Michele Wong,Homme,Maroc,67.0,33502.32,Premium,9.0,22,PC,2025-05-26 03:08:27,0,0,5
Natalie Burke,Femme,Belgique,33.0,38775.92,Standard,17.0,18,PC,2025-04-24 18:26:41,1,3,4
Mary Clark,Homme,Maroc,39.0,37945.85,Standard,11.2,15,Mobile,2025-05-07 12:18:09,1,2,5
Christopher Wilson,Homme,Algérie,45.0,40728.87,Familial,17.6,22,SmartTV,2025-01-30 22:43:20,0,3,1
Felicia Rogers,Femme,Maroc,63.0,36678.99,Standard,23.6,26,PC,2025-07-07 19:44:12,0,0,7
Jennifer Gray,Homme,France,44.0,31001.88,Familial,92.1,23,SmartTV,2025-06-05 22:03:02,0,3,6
Ashley Hull,Femme,Canada,44.0,31583.47,Premium,3.4,21,Tablette,2025-02-28 12:06:43,0,4,2
Mr. Christopher Romero,Femme,Canada,26.0,27615.93,Standard,11.8,34,SmartTV,2025-05-10 00:56:10,1,5,5
Pamela Lawson,Homme,Belgique,61.0,40440.36,Standard,6.7,16,Mobile,2025-04-12 15:20:54,0,5,4
David Smith,Homme,Maroc,30.0,43745.69,Premium,4.1,25,SmartTV,2025-03-23 17:24:15,0,6,3
Julie Goodwin,Homme,France,18.0,28802.57,Premium,8.4,27,Mobile,2025-01-01 14:49:50,0,2,1
Scott Johnson,Femme,Canada,43.761429322122964,48081.67,Standard,0.1,21,PC,2025-05-01 05:41:13,0,3,5
Chris Jordan,Femme,Canada,18.0,40728.87,Premium,1.1,31,SmartTV,2025-02-22 13:33:36,0,5,2
Jason Mayo,Homme,Algérie,34.0,37022.36,Standard,2.3,32,Mobile,2025-01-04 13:06:03,0,5,1
Ronald Hamilton,Femme,Belgique,43.761429322122964,52570.25,Premium,18.8,21,SmartTV,2025-03-15 04:51:56,0,5,3
Todd King,Homme,Canada,61.0,52109.0,Premium,82.3,22,PC,2025-03-21 23:15:29,0,4,3
Joseph Dixon,Homme,Maroc,46.0,52421.52,Premium,23.7,23,Mobile,2025-05-28 16:46:02,0,2,5
Jeffery Smith,Homme,Belgique,30.0,30321.85,Familial,2.5,24,Tablette,2025-07-02 07:40:28,0,2,7
Linda Brown,Femme,Belgique,18.0,34681.76,Standard,7.8,23,Tablette,2025-04-25 00:13:53,1,4,4
Joseph Scott,Homme,Belgique,69.0,36842.17,Premium,6.2,35,Mobile,2025-01-24 12:06:16,0,4,1
Michael Collins,Homme,France,37.0,10454.56,Standard,2.4,21,SmartTV,2025-05-16 14:31:06,0,4,5
Michele Green,Femme,Maroc,26.0,16244.12,Standard,11.5,28,SmartTV,2025-01-25 01:44:10,0,5,1
Lisa Miles,Femme,Maroc,21.0,31321.98,Standard,16.0,28,SmartTV,2025-01-21 18:37:50,0,1,1
Courtney Hunt,Femme,Algérie,46.0,44399.27,Familial,14.36419689119171,21,Mobile,2025-03-25 13:08:31,0,1,3
Keith Mcbride,Non précisé,Belgique,59.0,50279.14,Premium,19.0,28,PC,2025-04-07 10:40:30,0,0,4
Nicole Gonzalez,Homme,France,63.0,34913.94,Standard,4.2,23,Mobile,2025-02-27 09:23:52,0,3,2
Christopher Martin,Femme,Belgique,60.0,50595.83,Premium,43.1,31,SmartTV,2025-04-21 04:27:00,0,0,4
Michael Dalton,Homme,Canada,27.0,46198.68,Familial,6.5,24,SmartTV,2025-06-19 19:05:36,1,3,6
Joseph Williams,Femme,France,47.0,19126.9,Familial,16.0,17,Tablette,2025-02-06 00:51:39,0,3,2
Elizabeth Hughes,Homme,Belgique,60.0,33610.84,Standard,3.2,22,PC,2025-04-14 11:47:44,0,0,4
Wayne Bush,Homme,Algérie,19.0,47454.8,Standard,9.8,29,SmartTV,2025-05-13 10:38:53,0,1,5
Mr. Daniel Hicks,Homme,France,24.0,52027.23,Premium,1.4,19,SmartTV,2025-01-19 06:38:27,1,6,1
James Acosta,Homme,Maroc,50.0,35031.23,Premium,3.3,18,SmartTV,2025-03-11 17:53:47,0,1,3
Tina Allen,Homme,Canada,23.0,40728.87,Standard,29.1,26,SmartTV,2025-04-18 05:30:42,0,4,4
Jose Lee,Femme,France,41.0,36778.57,Premium,11.7,26,Mobile,2025-06-14 01:09:45,1,5,6
Tamara Humphrey,Homme,Maroc,22.0,44466.0,Standard,14.36419689119171,30,PC,2025-02-04 11:06:00,0,1,2
Dennis Russo,Femme,Canada,49.0,46863.48,Standard,14.36419689119171,16,PC,2025-01-03 11:23:08,1,4,1
Jack Hamilton,Femme,Belgique,43.761429322122964,46669.91,Standard,15.5,27,Mobile,2025-06-17 02:32:47,0,1,6
Andrew Yoder,Femme,Algérie,27.0,37281.67,Standard,12.4,29,Mobile,2025-02-10 19:16:14,1,0,2
Joan Lambert,Homme,Canada,49.0,49159.46,Familial,3.4,25,SmartTV,2025-05-04 23:07:50,0,6,5
Ricardo Gutierrez,Homme,Algérie,63.0,38341.07,Familial,19.6,23,Mobile,2025-03-18 09:20:43,1,1,3
Scott Moore,Homme,Belgique,61.0,35740.62,Standard,30.9,24,PC,2025-03-28 12:09:32,0,4,3
Scott Bowman,Homme,Belgique,24.0,69529.04,Standard,47.1,33,Tablette,2025-03-09 10:31:57,1,6,3
Jennifer Maxwell,Homme,Belgique,46.0,42699.53,Standard,13.6,31,Mobile,2025-06-07 02:13:08,0,5,6
Brian Moore,Homme,Canada,23.0,43849.29,Premium,9.3,16,SmartTV,2025-07-09 00:03:06,1,2,7
Carl Evans,Femme,Canada,46.0,59266.61,Premium,0.6,17,PC,2025-03-02 14:43:09,0,6,3
Zachary Stafford,Femme,Canada,43.761429322122964,57001.95,Premium,21.0,30,SmartTV,2025-02-10 00:24:26,0,0,2
Alyssa Williams,Homme,Algérie,34.0,35860.2,Standard,0.6,27,Mobile,2025-03-05 14:40:55,1,2,3
Jessica Schaefer,Homme,Maroc,23.0,42724.35,Premium,15.6,20,PC,2025-01-05 22:42:24,1,6,1
Kevin Sanchez,Femme,Maroc,66.0,41963.61,Standard,31.1,26,Tablette,2025-07-05 11:00:06,0,5,7
Christine Howard,Femme,Maroc,55.0,39639.51,Premium,44.6,28,Mobile,2025-05-26 14:42:46,0,0,5
Daniel Brown,Homme,Belgique,20.0,50713.48,Standard,30.3,27,SmartTV,2025-05-14 17:12:24,0,2,5
Keith Brown,Homme,Belgique,40.0,38958.25,Standard,2.7,31,Mobile,2025-03-08 12:54:14,1,5,3
Matthew Paul,Femme,Maroc,18.0,56291.44,Premium,0.9,27,Mobile,2025-05-13 00:01:15,0,1,5
George Ferrell,Femme,Maroc,55.0,38277.02,Premium,20.9,27,Mobile,2025-03-26 20:01:45,1,2,3
James Lee,Femme,Belgique,43.761429322122964,40728.87,Familial,28.0,27,Mobile,2025-02-14 14:51:48,0,4,2
Scott Cain PhD,Homme,Canada,45.0,42948.02,Standard,4.2,35,PC,2025-02-18 07:15:58,0,1,2
Erin Howell,Homme,Canada,22.0,49091.33,Standard,14.36419689119171,16,Tablette,2025-05-13 07:16:14,1,1,5
Jesse Taylor,Homme,Algérie,53.0,29944.8,Standard,0.0,28,PC,2025-02-26 05:41:42,1,2,2
Marcus Vasquez,Homme,Maroc,55.0,67667.64,Premium,59.7,32,Tablette,2025-06-29 17:13:29,0,6,6
Ariana Black,Femme,France,23.0,27813.02,Premium,2.3,19,Mobile,2025-06-28 23:36:50,0,5,6
Stacy Green,Femme,Algérie,32.0,56767.97,Standard,1.3,34,PC,2025-06-18 15:13:33,0,2,6
David Ford MD,Homme,Canada,36.0,43888.81,Premium,3.3,31,SmartTV,2025-02-04 08:52:46,0,1,2
Lauren Scott,Femme,France,56.0,30061.83,Standard,3.6,30,Mobile,2025-07-05 02:42:45,0,5,7
Samantha Dean,Non précisé,Algérie,42.0,48227.88,Familial,23.0,20,Inconnu,2025-05-22 13:38:28,0,3,5
Luis Chavez,Homme,Belgique,68.0,23075.52,Standard,62.9,27,SmartTV,2025-04-20 08:58:34,1,6,4
Cynthia Gordon,Femme,Belgique,35.0,40728.87,Standard,3.8,37,SmartTV,2025-01-31 04:22:18,0,4,1
Marvin Mccarthy,Femme,Belgique,32.0,43841.55,Premium,4.9,30,Mobile,2025-01-16 14:47:11,0,3,1
Megan Osborne,Femme,Belgique,68.0,40728.87,Standard,14.1,30,Mobile,2025-04-12 23:17:43,0,5,4
Karla Chen,Homme,Maroc,45.0,36468.79,Standard,15.1,25,Mobile,2025-03-11 21:07:23,0,1,3
Christopher Dyer,Femme,Maroc,43.0,46572.57,Familial,19.8,20,PC,2025-04-06 14:19:04,1,6,4
Frank Brown,Homme,Maroc,59.0,42746.86,Standard,9.0,30,SmartTV,2025-05-19 15:42:53,0,0,5
George Gibson,Femme,Canada,57.0,31023.85,Familial,21.0,19,PC,2025-02-09 04:04:28,1,6,2
Valerie Johns,Homme,Canada,69.0,44574.59,Premium,18.0,17,SmartTV,2025-03-02 23:19:36,0,6,3
Caleb Wright,Femme,France,60.0,47742.68,Standard,2.5,31,SmartTV,2025-06-21 03:50:43,1,5,6
Jessica Morris DVM,Femme,Belgique,31.0,25927.66,Premium,34.9,20,Mobile,2025-05-17 09:55:11,0,5,5
Brandon Briggs,Homme,Belgique,48.0,36256.16,Standard,12.9,27,PC,2025-03-31 01:44:09,1,0,3
Sonya Brown,Femme,Canada,48.0,42085.23,Standard,19.6,29,PC,2025-04-17 20:26:39,0,3,4
Michael Thompson,Femme,Belgique,23.0,40728.87,Premium,2.7,24,SmartTV,2025-01-09 15:51:08,1,3,1
Andrew Harris,Homme,Canada,32.0,39560.77,Premium,17.9,32,SmartTV,2025-03-30 07:30:28,0,6,3
William Freeman,Femme,France,32.0,26439.47,Standard,1.1,28,Mobile,2025-03-24 10:48:08,1,0,3
Brian Smith,Homme,Canada,48.0,45490.5,Standard,3.4,27,SmartTV,2025-04-29 08:45:34,0,1,4
Danielle Mitchell MD,Homme,Maroc,22.0,45204.97,Premium,9.4,32,PC,2025-02-28 14:44:01,0,4,2
Darlene Houston,Femme,Canada,64.0,47636.26,Premium,15.5,25,Mobile,2025-05-27 02:27:18,0,1,5
Benjamin Frye,Femme,Algérie,43.761429322122964,50165.57,Standard,2.5,26,Mobile,2025-07-06 04:05:33,0,6,7
Douglas Moore,Femme,France,22.0,34707.13,Premium,0.0,23,SmartTV,2025-04-10 02:40:09,0,3,4
Jonathan Bradley DDS,Homme,Belgique,66.0,35620.85,Premium,3.0,21,Mobile,2025-01-21 01:22:05,0,1,1
Patricia Baker MD,Femme,Belgique,40.0,59761.51,Standard,7.1,20,Mobile,2025-04-18 05:11:33,0,4,4
Christopher Bishop,Homme,Algérie,63.0,37861.98,Standard,1.6,19,Mobile,2025-05-17 16:38:32,0,5,5
Allen Wheeler Jr.,Homme,France,44.0,48309.57,Premium,2.3,32,Mobile,2025-01-21 14:06:02,0,1,1
Taylor Parker,Homme,Maroc,60.0,34618.1,Familial,13.7,20,SmartTV,2025-05-04 18:35:12,0,6,5
Alexander Brown,Homme,Algérie,25.0,43920.27,Premium,29.9,24,SmartTV,2025-03-28 02:23:23,0,4,3
Alejandro Bray,Homme,France,63.0,25170.5,Standard,1.2,30,Mobile,2025-07-04 18:34:24,1,4,7
Nathaniel Holder,Femme,France,69.0,57456.99,Premium,30.9,18,Mobile,2025-01-28 02:05:37,0,1,1
Christina Wilson,Femme,Belgique,64.0,62569.13,Familial,4.0,23,Mobile,2025-03-31 14:26:52,0,0,3
Chris Ortiz,Homme,Algérie,67.0,29506.24,Standard,10.6,28,Mobile,2025-04-06 22:26:45,0,6,4
Robert Sanchez,Homme,France,62.0,23144.83,Standard,26.5,22,Tablette,2025-02-20 08:20:44,1,3,2
Robert Mccormick,Femme,Canada,32.0,34947.64,Premium,3.8,34,Inconnu,2025-05-12 19:11:14,0,0,5
Mary Simon,Femme,Canada,21.0,22029.41,Standard,10.0,34,Tablette,2025-05-24 21:50:10,0,5,5
John Benson,Femme,Algérie,52.0,30365.62,Standard,39.4,31,Tablette,2025-03-29 13:35:48,0,5,3
Sara Turner,Homme,France,43.761429322122964,40728.87,Standard,2.8,27,Tablette,2025-01-21 22:11:05,0,1,1
Marissa Moses,Homme,Algérie,54.0,46484.61,Standard,3.1,21,SmartTV,2025-05-13 10:27:59,0,1,5
Paula Foster,Femme,Canada,52.0,63235.33,Premium,24.6,31,Mobile,2025-03-11 06:56:19,0,1,3
Joseph Herring,Non précisé,Belgique,43.0,17494.29,Standard,17.1,21,Mobile,2025-03-16 15:10:58,0,6,3
Amber Pena,Homme,Canada,43.0,48569.62,Standard,6.7,21,Tablette,2025-05-02 12:33:14,0,4,5
Rebecca Nicholson,Femme,France,19.0,30702.37,Premium,3.6,23,SmartTV,2025-01-06 10:02:21,0,0,1
Keith Gray,Femme,Belgique,44.0,33608.72,Standard,2.5,22,Mobile,2025-04-15 03:34:35,0,1,4
Dennis Gallagher,Homme,Belgique,59.0,38441.58,Premium,18.3,20,Tablette,2025-04-25 04:23:56,0,4,4
Jennifer Hooper,Homme,Canada,64.0,35445.41,Standard,11.6,20,SmartTV,2025-05-12 05:45:07,0,0,5
Hayley Gallegos,Homme,Algérie,23.0,32887.46,Premium,5.8,28,Mobile,2025-03-11 03:59:02,0,1,3
Steven Roach,Homme,Maroc,21.0,48309.19,Standard,1.5,25,PC,2025-04-15 20:57:42,0,1,4
Lori Lopez,Homme,Maroc,66.0,38444.92,Premium,16.5,24,Mobile,2025-06-12 21:38:05,0,3,6
David Thompson,Homme,Maroc,43.761429322122964,33311.53,Standard,11.9,34,SmartTV,2025-04-02 13:57:27,0,2,4
Scott Rowe,Non précisé,Maroc,28.0,41449.48,Familial,77.3,23,SmartTV,2025-01-01 00:58:40,0,2,1
Mark Rhodes,Homme,France,64.0,30999.73,Familial,2.2,28,Tablette,2025-01-25 20:59:01,0,5,1
Scott Garrett,Femme,Algérie,58.0,34930.05,Standard,21.4,24,PC,2025-02-09 11:04:42,0,6,2
David Webb,Femme,Belgique,51.0,52332.62,Standard,7.9,21,Tablette,2025-01-14 13:09:20,0,1,1
John Hart,Femme,Canada,19.0,25880.02,Premium,9.3,24,Mobile,2025-05-03 10:57:46,0,5,5
Andrew Williams,Femme,France,48.0,55008.5,Standard,15.4,19,SmartTV,2025-02-16 22:02:40,0,6,2
Brenda Maldonado,Femme,France,67.0,53277.49,Standard,13.6,32,Mobile,2025-04-07 13:36:12,0,0,4
Daniel Robertson Jr.,Femme,France,31.0,37049.82,Standard,18.2,17,SmartTV,2025-05-27 09:16:34,1,1,5
Karen Nelson,Homme,Algérie,21.0,35326.45,Premium,19.3,21,Mobile,2025-05-12 17:11:51,0,0,5
Cheryl Oconnell,Homme,Canada,59.0,39652.09,Standard,15.1,25,Tablette,2025-04-16 11:23:00,0,2,4
Abigail Carter,Femme,France,34.0,27204.76,Standard,14.36419689119171,30,Mobile,2025-07-09 16:35:52,0,2,7
Peter Pacheco,Homme,France,30.0,30168.52,Standard,2.0,21,Mobile,2025-06-30 04:32:46,0,0,6
Tracey Williams,Femme,France,19.0,43493.66,Standard,13.9,25,PC,2025-05-02 17:14:58,0,4,5
Jennifer Wagner,Homme,France,23.0,49093.36,Standard,2.5,24,SmartTV,2025-05-22 18:23:11,0,3,5
Emma Erickson,Homme,Belgique,19.0,26341.05,Standard,2.7,25,Inconnu,2025-04-27 19:31:03,0,6,4
Cameron Wallace,Femme,Canada,61.0,31381.61,Familial,2.8,18,Mobile,2025-03-09 19:37:36,1,6,3
Ronald Zamora,Femme,Belgique,22.0,46737.33,Familial,22.3,29,Mobile,2025-06-01 21:15:17,1,6,6
Tara Salazar,Femme,Belgique,38.0,40728.87,Standard,21.1,24,Tablette,2025-07-04 01:27:41,1,4,7
